Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       1/1           check_netlist [29]
                0.00    0.00       6/6           alloc_and_load_grid [32]
                0.00    0.00       1/1           XmlReadArch [34]
                0.00    0.00     192/377666      my_malloc [17]
                0.00    0.00       5/430         free_matrix [88]
                0.00    0.00       2/171         my_calloc [97]
                0.00    0.00       1/222         ezxml_free [92]
                0.00    0.00       1/222         FreeNode [90]
                0.00    0.00       1/1           my_srandom [146]
-----------------------------------------------
                0.00    0.00       1/1           SetupVPR [25]
[26]     0.0    0.00    0.00       1         read_netlist [26]
                0.00    0.00    2943/2943        ReadLineTokens [27]
                0.00    0.00    2001/377666      my_malloc [17]
                0.00    0.00       1/1           sync_nets_to_blocks [31]
                0.00    0.00    3543/3774        my_atoi [72]
                0.00    0.00    3129/3302        FreeTokens [73]
                0.00    0.00    3126/3287        CountTokens [74]
                0.00    0.00    1352/1359        my_strdup [75]
                0.00    0.00       1/2           my_fopen [125]
-----------------------------------------------
                0.00    0.00    2943/2943        read_netlist [26]
[27]     0.0    0.00    0.00    2943         ReadLineTokens [27]
                0.00    0.00    5880/377666      my_malloc [17]
-----------------------------------------------
                0.00    0.00       1/1           alloc_lookups_and_criticalities [5]
[28]     0.0    0.00    0.00       1         alloc_and_load_timing_graph [28]
                0.00    0.00    2720/377666      my_malloc [17]
                0.00    0.00       1/1           alloc_and_load_timing_graph_levels [51]
                0.00    0.00    5881/6904        my_chunk_malloc [69]
                0.00    0.00    1724/4966        is_opin [71]
                0.00    0.00     414/437         alloc_matrix [86]
                0.00    0.00     414/430         free_matrix [88]
                0.00    0.00     138/171         my_calloc [97]
                0.00    0.00     138/276         load_one_fb_fanout_count [89]
                0.00    0.00       1/1           check_timing_graph [127]
-----------------------------------------------
                0.00    0.00       1/1           SetupVPR [25]
[29]     0.0    0.00    0.00       1         check_netlist [29]
                0.00    0.00     649/649         insert_in_hash_table [30]
                0.00    0.00       1/377666      my_malloc [17]
                0.00    0.00    3242/4966        is_opin [71]
                0.00    0.00     139/139         get_next_hash [99]
                0.00    0.00     138/276         load_one_fb_fanout_count [89]
                0.00    0.00       3/171         my_calloc [97]
                0.00    0.00       2/2           alloc_hash_table [119]
                0.00    0.00       2/2           free_hash_table [121]
                0.00    0.00       1/437         alloc_matrix [86]
                0.00    0.00       1/1           start_hash_table_iterator [149]
                0.00    0.00       1/430         free_matrix [88]
-----------------------------------------------
                0.00    0.00     649/649         check_netlist [29]
[30]     0.0    0.00    0.00     649         insert_in_hash_table [30]
                0.00    0.00    1298/377666      my_malloc [17]
-----------------------------------------------
                0.00    0.00       1/1           read_netlist [26]
[31]     0.0    0.00    0.00       1         sync_nets_to_blocks [31]
                0.00    0.00    1022/377666      my_malloc [17]
-----------------------------------------------
                0.00    0.00       6/6           SetupVPR [25]
[32]     0.0    0.00    0.00       6         alloc_and_load_grid [32]
                0.00    0.00     766/377666      my_malloc [17]
                0.00    0.00       6/437         alloc_matrix [86]
-----------------------------------------------
                0.00    0.00       1/1           build_rr_graph [7]
